user,depositNumber,stakingPhase,stakingPeriod,stakingStartDate,stakingEndDate,amount,reward,apy
0x0866F421D2591b87f459b7373D2FA9F8f959b7D7,5,0,7,2026-04-02T04:19:29.000Z,2026-04-09T04:19:29.000Z,"1,000,000.00","5,753.42",30
0x2329023eF31cfe7A84e9f53F15DFbcFaC3Aacf5a,9,0,7,2026-04-01T22:12:25.000Z,2026-04-08T22:12:25.000Z,"1,000,000.00","5,753.42",30
0xF121408Daa6EdF4Db5F67D8adbF9EaF5293569Cd,15,0,7,2026-04-01T21:50:39.000Z,2026-04-08T21:50:39.000Z,"26,877.00",154.63,30
0xE2030d09d8682E2771F9D179bD1a61366245d2CE,3,0,7,2026-04-01T19:32:21.000Z,2026-04-08T19:32:21.000Z,"421,424.27","2,424.63",30
0xd83F2e7768bBe2eaf597F54bD03Ea81A9596870F,24,0,7,2026-04-01T19:13:45.000Z,2026-04-08T19:13:45.000Z,"1,000,000.00","5,753.42",30
0x2d4c79960bcE4161643e0f3a7b7C459F876BDEe6,12,0,7,2026-04-01T19:12:59.000Z,2026-04-08T19:12:59.000Z,"1,000,000.00","5,753.42",30
0xA77A6701186402F251D342af9c73Eb9c7f81B0b1,7,0,7,2026-04-01T18:47:51.000Z,2026-04-08T18:47:51.000Z,"1,000,000.00","5,753.42",30
0xF121408Daa6EdF4Db5F67D8adbF9EaF5293569Cd,14,0,7,2026-04-01T18:24:31.000Z,2026-04-08T18:24:31.000Z,"67,835.00",390.28,30
0xd00bE684871aAE5e22042fe68dad498EB3811A3e,7,0,7,2026-04-01T18:09:21.000Z,2026-04-08T18:09:21.000Z,"1,000,000.00","5,753.42",30
0x2ee2405dc72EA46BcEBDdbC089bc11897c86935d,4,0,7,2026-04-01T17:21:15.000Z,2026-04-08T17:21:15.000Z,"925,801.00","5,326.53",30
0x5Acd7734Fa4e93854F4459F7eeeA99d7dDff8734,5,0,7,2026-04-01T17:04:45.000Z,2026-04-08T17:04:45.000Z,"7,000.00",40.27,30
0x243FA6718905084b07C5fF665d34CEc0Bb57dF60,6,0,7,2026-04-01T11:37:55.000Z,2026-04-08T11:37:55.000Z,"1,000,000.00","5,753.42",30
